年平均每日交通量,主梁材質_預力混凝土,平均月相對濕度,橋梁總長(M),離海岸距離(公尺),設計垂直地震力係數,是否為跨水橋,橋梁最接近斷層距離,橋下有無租用,label
23364.0,1,76.78156566,126.2,23847,0.1,0,11511.11,0,0
23364.0,1,76.78156566,400.4,23895,0.1,1,11681.22,1,0
29426.0,1,76.78156566,15.0,20033,0.1,0,5865.22,0,0
31431.0,1,76.78156566,22.5,20069,0.1,0,5773.58,0,0
29426.0,1,76.78156566,22.5,20112,0.1,0,5334.69,0,0
29426.0,1,76.78156566,50.0,20056,0.1,1,5216.25,1,0
29426.0,1,76.78156566,37.5,19905,0.1,0,4915.14,1,0
29426.0,1,76.78156566,22.5,19968,0.1,0,4634.6,0,0
23364.0,1,76.78156566,63.5,23953,0.1,0,11727.61,0,0
29426.0,1,76.78156566,22.5,20127,0.1,1,4744.24,0,0
29426.0,1,76.78156566,17.48,20233,0.12,0,4824.56,0,0
29426.0,1,76.78156566,60.0,20417,0.1,0,4966.87,1,0
18022.0,1,75.18181818,315.1,17523,0.15,1,17112.32,0,0
22727.0,1,76.78156566,105.1,25725,0.1,0,13719.58,1,0
29426.0,1,76.78156566,25.0,20009,0.1,0,5891.91,1,0
22727.0,0,75.18181818,1078.0,24854,0.1,1,14219.6,1,0
23428.0,1,75.18181818,130.0,21364,0.15,1,16058.26,0,0
23428.0,1,75.18181818,130.0,21345,0.15,1,16053.38,0,0
23428.0,1,75.18181818,259.0,21666,0.15,0,12890.54,1,0
23077.0,1,75.18181818,210.25,22339,0.15,0,13845.03,1,0
23428.0,1,75.18181818,210.25,22320,0.15,0,13854.31,1,0
23077.0,1,75.18181818,35.0,22247,0.12,0,14456.34,0,0
23428.0,1,75.18181818,35.0,22235,0.15,0,14433.57,0,0
29426.0,1,76.78156566,27.5,21711,0.1,0,8981.66,1,0
31431.0,1,76.78156566,27.5,21710,0.1,0,9022.7,1,0
31431.0,1,76.78156566,52.0,21493,0.1,0,8765.42,1,0
29426.0,1,76.78156566,52.0,21479,0.1,0,8710.45,1,0
18982.0,1,76.78156566,600.1,15308,0.15,1,16986.87,1,0
20025.0,1,76.78156566,600.1,15328,0.15,1,16977.25,1,0
23428.0,1,75.18181818,270.02,20152,0.15,0,17470.75,1,0
23077.0,1,75.18181818,82.5,20380,0.15,0,17459.81,0,0
23077.0,1,75.18181818,125.0,21018,0.15,1,17697.04,0,0
23364.0,0,75.18181818,1052.0,24842,0.1,1,14199.54,1,0
22727.0,0,76.78156566,548.8,24865,0.1,0,13586.28,0,0
23428.0,1,75.18181818,459.0,21541,0.15,1,15374.44,0,0
23077.0,0,75.18181818,54.0,21015,0.12,1,16664.53,0,0
15852.0,1,76.78156566,563.0,12341,0.1,0,16320.53,1,0
22727.0,1,76.78156566,60.21,25452,0.1,1,14378.88,1,0
23077.0,1,75.18181818,117.0,21087,0.12,1,16466.06,0,0
23428.0,1,75.18181818,134.0,21080,0.12,1,16448.34,0,0
23077.0,1,75.18181818,130.0,21373,0.12,1,16056.53,0,0
23077.0,1,75.18181818,437.5,21555,0.15,1,15393.98,0,0
23077.0,1,75.18181818,286.79,21395,0.15,0,15549.23,0,0
23077.0,1,75.18181818,281.0,21667,0.15,0,12887.96,1,0
15852.0,1,76.78156566,479.4,11257,0.1,1,15580.36,0,0
16508.0,1,76.78156566,257.5,11291,0.1,1,15561.45,0,0
15852.0,1,76.78156566,200.0,11190,0.1,1,15638.35,0,0
15852.0,1,76.78156566,232.5,11199,0.1,1,15625.84,0,0
17548.0,1,76.78156566,479.4,11273,0.1,1,15573.08,0,0
15852.0,1,75.18181818,322.6,17513,0.15,1,17094.37,0,0
18022.0,1,76.78156566,105.1,12672,0.1,1,16590.55,0,0
23077.0,1,75.18181818,111.72,23305,0.1,1,16910.65,0,0
23428.0,1,75.18181818,150.12,23233,0.1,1,16900.55,0,0
18022.0,1,76.78156566,576.5,12350,0.1,0,16308.44,1,0
15852.0,0,76.78156566,207.1,11704,0.1,0,15655.11,0,0
15852.0,1,76.78156566,314.7,11912,0.1,1,15522.45,0,0
22727.0,1,76.78156566,322.1,22555,0.1,1,10313.26,1,0
23364.0,1,76.78156566,292.1,22518,0.1,1,10298.84,0,0
23364.0,1,76.78156566,951.8,24907,0.1,1,12456.11,1,0
31431.0,1,76.78156566,279.0,19944,0.1,0,7166.4,1,1
31431.0,0,76.78156566,180.0,19795,0.1,0,6904.13,1,1
31431.0,1,76.78156566,120.0,20008,0.1,0,7295.23,1,0
31431.0,1,76.78156566,39.0,19922,0.1,0,7175.6,1,1
31431.0,0,76.78156566,200.0,19758,0.1,0,6873.12,0,0
